,lastUpdateId,bids,asks
0,1924206120,"['34344.0000', '0.04000000']","['34355.9800', '0.18000000']"
1,1924206120,"['34343.9900', '0.18000000']","['34358.5700', '0.01743100']"
2,1924206120,"['34342.2800', '0.01900000']","['34358.5800', '0.14539000']"
3,1924206120,"['34342.2700', '0.18000000']","['34360.4000', '0.01455600']"
4,1924206120,"['34341.7400', '0.03022000']","['34360.5300', '0.18000000']"
5,1924206120,"['34341.2400', '0.01455600']","['34362.5400', '0.02911000']"
6,1924206120,"['34340.6400', '0.01746400']","['34366.5700', '0.31000000']"
7,1924206120,"['34340.6300', '0.12000000']","['34366.7000', '0.31000000']"
8,1924206120,"['34339.9300', '0.31000000']","['34367.3200', '0.00708700']"
9,1924206120,"['34338.8700', '0.02911000']","['34368.0700', '0.17465600']"
10,1924206120,"['34336.9700', '0.04263000']","['34369.6500', '0.04267300']"
11,1924206120,"['34332.6500', '0.17467500']","['34370.5000', '0.00557400']"
12,1924206120,"['34330.3600', '0.01461700']","['34373.6800', '0.57500000']"
13,1924206120,"['34325.8200', '0.04353600']","['34374.4500', '0.29114000']"
14,1924206120,"['34324.2000', '0.29109700']","['34378.2300', '0.00737000']"
15,1924206120,"['34323.3400', '0.07637400']","['34379.8400', '0.00683300']"
16,1924206120,"['34316.4500', '0.10000000']","['34379.8500', '0.00754500']"
17,1924206120,"['34315.7700', '0.00610000']","['34380.9500', '0.04288000']"
18,1924206120,"['34315.0400', '0.31000000']","['34382.6400', '0.00610000']"
19,1924206120,"['34312.1700', '0.29814400']","['34383.2800', '0.00785400']"
20,1924206120,"['34305.8100', '0.30753600']","['34384.2300', '0.15000000']"
21,1924206120,"['34305.1100', '0.01457500']","['34395.6200', '0.00600000']"
22,1924206120,"['34305.1000', '0.22636500']","['34395.6900', '0.01453700']"
23,1924206120,"['34302.1300', '0.12022700']","['34397.0000', '0.31000000']"
24,1924206120,"['34300.0000', '0.02183500']","['34403.1900', '0.07266800']"
25,1924206120,"['34298.1300', '0.01200000']","['34403.2000', '0.22636500']"
26,1924206120,"['34298.1100', '1.37926500']","['34408.4900', '0.00600000']"
27,1924206120,"['34292.0000', '0.00032100']","['34408.5000', '0.51692500']"
28,1924206120,"['34286.1100', '0.15168500']","['34409.2700', '0.37092000']"
29,1924206120,"['34285.5700', '0.15000000']","['34414.4000', '0.15000000']"
30,1924206120,"['34273.8600', '0.00105200']","['34419.5100', '0.15000000']"
31,1924206120,"['34271.1300', '0.08594800']","['34420.4000', '0.60602300']"
32,1924206120,"['34271.1200', '0.02000000']","['34423.1500', '0.15000000']"
33,1924206120,"['34270.9400', '0.61297400']","['34430.1400', '0.37786600']"
34,1924206120,"['34269.3000', '0.60602300']","['34440.5900', '0.31800500']"
35,1924206120,"['34268.8900', '0.00030900']","['34446.1000', '1.07363400']"
36,1924206120,"['34265.2100', '0.38779100']","['34450.4300', '0.15000000']"
37,1924206120,"['34265.1800', '0.15000000']","['34459.5700', '0.46850800']"
38,1924206120,"['34264.9800', '0.15000000']","['34468.7800', '0.01070100']"
39,1924206120,"['34262.1100', '0.00059100']","['34483.1800', '0.40182100']"
40,1924206120,"['34261.8500', '0.00068000']","['34489.7900', '0.00400200']"
41,1924206120,"['34256.5800', '0.00087500']","['34492.8600', '0.00062000']"
42,1924206120,"['34254.8500', '0.00040100']","['34506.4400', '0.31883600']"
43,1924206120,"['34252.3300', '0.00061500']","['34513.3100', '0.71853300']"
44,1924206120,"['34250.8500', '0.09292700']","['34525.8700', '0.26945600']"
45,1924206120,"['34249.7900', '0.00153700']","['34526.0600', '0.00061300']"
46,1924206120,"['34248.9400', '0.00131600']","['34533.7900', '0.00071400']"
47,1924206120,"['34245.0700', '0.15000000']","['34539.4400', '0.00095900']"
48,1924206120,"['34243.5000', '1.07363400']","['34540.5000', '0.26325300']"
49,1924206120,"['34240.5200', '0.33782900']","['34560.0000', '0.00080700']"
50,1924206120,"['34235.6800', '2.40428100']","['34562.6700', '0.00030900']"
51,1924206120,"['34234.3700', '0.72627400']","['34563.5200', '0.00177400']"
52,1924206120,"['34233.0100', '0.00058400']","['34564.1200', '1.84805100']"
53,1924206120,"['34231.0000', '0.00032100']","['34567.3000', '0.00520400']"
54,1924206120,"['34230.9400', '2.89404700']","['34567.5800', '0.34071900']"
55,1924206120,"['34222.2200', '0.05000000']","['34568.2700', '0.00077200']"
56,1924206120,"['34216.4100', '0.00071400']","['34568.7400', '0.00104600']"
57,1924206120,"['34213.6200', '0.15000000']","['34579.5300', '0.00769100']"
58,1924206120,"['34213.5200', '0.00539000']","['34581.8400', '0.00040100']"
59,1924206120,"['34213.4500', '0.42830900']","['34584.8000', '0.11000000']"
60,1924206120,"['34208.0000', '0.03310300']","['34585.6900', '0.00230300']"
61,1924206120,"['34202.0000', '0.04163300']","['34586.0300', '0.97677200']"
62,1924206120,"['34201.0000', '0.00730900']","['34587.2500', '2.62750000']"
63,1924206120,"['34200.6600', '0.00100000']","['34597.2200', '0.58813800']"
64,1924206120,"['34200.5300', '0.02240400']","['34599.5400', '0.00058700']"
65,1924206120,"['34200.0000', '0.59698100']","['34603.3800', '0.00077000']"
66,1924206120,"['34198.0000', '0.03000000']","['34606.2100', '0.00058100']"
67,1924206120,"['34197.8100', '0.62150400']","['34615.1200', '7.57702400']"
68,1924206120,"['34197.7000', '0.00378400']","['34615.2400', '0.00087800']"
69,1924206120,"['34193.9500', '0.00400000']","['34615.6800', '0.65987000']"
70,1924206120,"['34188.6300', '0.00059000']","['34618.2800', '0.01065500']"
71,1924206120,"['34184.7600', '0.00093000']","['34626.6800', '0.00058900']"
72,1924206120,"['34184.0300', '0.40259700']","['34628.8400', '0.00061100']"
73,1924206120,"['34183.6700', '0.00062000']","['34632.2500', '0.64274900']"
74,1924206120,"['34182.5800', '0.00029300']","['34645.3200', '0.54477200']"
75,1924206120,"['34180.7400', '0.00035200']","['34647.4600', '0.00062000']"
76,1924206120,"['34175.0000', '0.00290000']","['34653.0600', '0.00400200']"
77,1924206120,"['34172.0000', '0.00436900']","['34658.5400', '0.00028900']"
78,1924206120,"['34171.6200', '0.00213400']","['34659.9800', '0.00100000']"
79,1924206120,"['34170.0000', '0.01463300']","['34664.8600', '0.57891100']"
80,1924206120,"['34169.7600', '0.01079500']","['34668.3300', '0.00087100']"
81,1924206120,"['34167.0000', '0.00128600']","['34672.2100', '0.00536000']"
82,1924206120,"['34166.6100', '0.86746400']","['34672.8400', '0.00092500']"
83,1924206120,"['34163.2600', '0.00400200']","['34673.1900', '0.75608200']"
84,1924206120,"['34162.0000', '0.16097200']","['34675.2100', '0.00058800']"
85,1924206120,"['34160.0700', '0.00108200']","['34676.5200', '0.00095500']"
86,1924206120,"['34156.0000', '0.01463800']","['34678.7000', '0.00068000']"
87,1924206120,"['34155.0000', '0.00366600']","['34684.2100', '0.00404400']"
88,1924206120,"['34153.8600', '0.35164400']","['34692.4900', '0.00071400']"
89,1924206120,"['34150.6600', '0.00061700']","['34696.3600', '0.51665100']"
90,1924206120,"['34150.5000', '0.00044000']","['34709.5600', '0.00030900']"
91,1924206120,"['34150.0000', '0.01146400']","['34716.1900', '0.00104200']"
92,1924206120,"['34147.0000', '0.01000000']","['34723.4700', '0.06758200']"
93,1924206120,"['34146.6500', '0.00029300']","['34724.5800', '0.58752500']"
94,1924206120,"['34146.2400', '0.00452200']","['34725.8800', '0.00130800']"
95,1924206120,"['34145.2800', '0.02928700']","['34731.9300', '0.00060900']"
96,1924206120,"['34140.0000', '0.01000000']","['34734.8500', '0.00068300']"
97,1924206120,"['34139.2000', '0.00107300']","['34740.6800', '0.62239300']"
98,1924206120,"['34135.7200', '0.01567200']","['34745.3300', '0.00040100']"
99,1924206120,"['34132.1500', '0.00189700']","['34755.8400', '0.00176400']"
